Дата операции,Референс проводки,Приход,Расход
2/18/2022 8:00,OP1ED222I000X127,112700,0
2/17/2022 19:15,CRD_3BN0KS,0,1317.2
2/17/2022 15:30,CRD_2YE4ER,0,150
2/17/2022 11:45,CRD_1882AY,0,350
2/17/2022 8:00,MOYB 17202000125,0,48.75
2/16/2022 21:07,CRD_2277FB,0,400
2/16/2022 19:15,CRD_826839,0,150
2/16/2022 17:22,CRD_4N35HE,0,200
2/16/2022 15:30,CRD_1ZY3NA,0,2500
2/16/2022 13:37,B011602220227647,3000,0
2/16/2022 11:45,CRD_1ZY3NA',0,2500
2/16/2022 9:52,C071602220099452,0,2000
2/16/2022 8:00,C071602220095669,0,200
2/15/2022 20:00,CRD_84Z9NY,0,240
2/15/2022 17:00,CRD_77E16Y,0,140
2/15/2022 14:00,CRD_5VA2A1,0,810
2/15/2022 11:00,CRD_3R11C1,0,1094.59
2/15/2022 8:00,MOYB 15202000016,0,9
2/14/2022 20:51,CRD_8XX3AR,0,1306.43
2/14/2022 18:42,CRD_41E02R,0,400
2/14/2022 16:34,CRD_3N09ER,0,1908
2/14/2022 14:25,C071402220085174,0,200
2/14/2022 12:17,C021402220002487,0,40000
2/14/2022 10:08,C171402220037675,50000,0
2/14/2022 8:00,C021402220002487',0,40000
2/13/2022 8:00,CRD_9AV446,0,143
2/12/2022 21:07,CRD_88A90V,0,3362.4
2/12/2022 19:15,CRD_5EZ340,0,1172
2/12/2022 17:22,CRD_3TY31W,0,279
2/12/2022 15:30,CRD_1VH75W,0,223
2/12/2022 13:37,CRD_80401W,0,5472
2/12/2022 11:45,B011202220050220,10000,0
2/12/2022 9:52,CRD_80401W',0,5472
2/12/2022 8:00,C161202220068749,0,4600
2/11/2022 21:30,CRD_8XN7US,0,285
2/11/2022 20:00,CRD_49798M,0,1100
2/11/2022 18:30,CRD_14Z9SS,0,2297.14
2/11/2022 17:00,CRD_5TK5RB,0,3780
2/11/2022 15:30,OST1_MJRZYYB0001,0,10.61
2/11/2022 14:00,C181102220042776,0,544
2/11/2022 12:30,C071102220150095,0,800
2/11/2022 11:00,A021102220000916,0,1000
2/11/2022 9:30,B011102220017478,15000,0
2/11/2022 8:00,CRD_5TK5RB',0,3780
2/10/2022 20:00,CRD_5AY2X1,0,1458.46
2/10/2022 17:00,CRD_1H0047,0,1918
2/10/2022 14:00,CRD_887957,0,599
2/10/2022 11:00,CRD_8KE347,0,58
2/10/2022 8:00,CRD_693631,0,150
2/9/2022 20:51,CRD_67X0FN,0,70
2/9/2022 18:42,CRD_5BN6AT,0,1585.13
2/9/2022 16:34,CRD_34S0FN,0,1662
2/9/2022 14:25,CRD_7U44KT,0,499
2/9/2022 12:17,CRD_66S7WS,0,120
2/9/2022 10:08,C070902220070234,0,200
2/9/2022 8:00,C160902220024891,0,10500
2/8/2022 20:00,CRD_74Y7U9,0,150
